# RuneScape950 cache items ID/name list
# Generated UTC: 2026-09-16T23:32:13.260262200Z
# Source cache: C:\Games\950OpenSource\cache
# Index 19; definitions=63414; named=57837; unnamed=5577; errors=0
# Reference table SHA-256: ff1d2e2e9bb3e2a488bd0e475b957bdbea5276625d4489d64cb5618bf8f014c6
# All actual reference-defined IDs are included. <unnamed> means no display name; errors are reported, never guessed.
# Names come from this950 cache. Items resolve cache template names; conditional NPC/object transforms depend on game state.
# UTF-8, tab-separated; literal tabs/newlines inside names are escaped.
ID	Name	Details
12991	Steel gauntlets	
12992	Worn-out steel gauntlets	
12993	<unnamed>	
12994	Black gauntlets	
12995	Worn-out black gauntlets	
12996	<unnamed>	
12997	Mithril gauntlets	
12998	Worn-out mithril gauntlets	
12999	<unnamed>	
13000	Adamant gauntlets	
13001	Worn-out adamant gauntlets	
13002	<unnamed>	
13003	Rune gauntlets	
13004	Worn-out rune gauntlets	
13005	<unnamed>	
13006	Dragon gauntlets	
13007	Worn-out dragon gauntlets	
13008	<unnamed>	
13009	<unnamed>	
13010	Clue scroll (hard)	
13011	Puzzle box (hard)	
13012	Clue scroll (hard)	
13013	Puzzle box (hard)	
13014	Clue scroll (hard)	
13015	Puzzle box (hard)	
13016	Clue scroll (hard)	
13017	Puzzle box (hard)	
13018	Clue scroll (hard)	
13019	Puzzle box (hard)	
13020	Clue scroll (hard)	
13021	Puzzle box (hard)	
13022	Clue scroll (hard)	
13023	Puzzle box (hard)	
13024	Clue scroll (hard)	
13025	Puzzle box (hard)	
13026	Clue scroll (hard)	
13027	Puzzle box (hard)	
13028	Clue scroll (hard)	
13029	Puzzle box (hard)	
13030	Clue scroll (hard)	
13031	Puzzle box (hard)	
13032	Clue scroll (hard)	
13033	Puzzle box (hard)	
13034	Clue scroll (hard)	
13035	Puzzle box (hard)	
13036	Clue scroll (hard)	
13037	Casket (hard)	
13038	Clue scroll (hard)	
13039	Casket (hard)	
13040	Clue scroll (hard)	
13041	Clue scroll (hard)	
13042	Clue scroll (hard)	
13043	Casket (hard)	
13044	Clue scroll (hard)	
13045	Casket (hard)	
13046	Clue scroll (hard)	
13047	Casket (hard)	
13048	Clue scroll (hard)	
13049	Clue scroll (hard)	
13050	Clue scroll (medium)	
13051	Clue scroll (medium)	
13052	Casket (medium)	
13053	Clue scroll (medium)	
13054	Casket (medium)	
13055	Clue scroll (medium)	
13056	Clue scroll (medium)	
13057	Casket (medium)	
13058	Clue scroll (medium)	
13059	Casket (medium)	
13060	Clue scroll (medium)	
13061	Clue scroll (medium)	
13062	Casket (medium)	
13063	Clue scroll (medium)	
13064	Casket (medium)	
13065	Clue scroll (medium)	
13066	Casket (medium)	
13067	Clue scroll (medium)	
13068	Clue scroll (medium)	
13069	Clue scroll (medium)	
13070	Clue scroll (medium)	
13071	Clue scroll (medium)	
13072	Clue scroll (medium)	
13073	Key	
13074	Clue scroll (medium)	
13075	Clue scroll (medium)	
13076	Clue scroll (medium)	
13077	Casket (medium)	
13078	Clue scroll (medium)	
13079	Clue scroll (medium)	
13080	Clue scroll (medium)	
13081	Black crossbow	
13082	Black crossbow	noted; base=13081
13083	Black bolts	
13084	Black bolts (p)	
13085	Black bolts (p+)	
13086	Black bolts (p++)	
13087	<unnamed>	
13088	<unnamed>	
13089	<unnamed>	
13090	<unnamed>	
13091	<unnamed>	
13092	<unnamed>	
13093	<unnamed>	
13094	<unnamed>	
13095	Black cane	
13096	Black cane	noted; base=13095
13097	Adamant cane	
13098	Adamant cane	noted; base=13097
13099	Rune cane	
13100	Rune cane	noted; base=13099
13101	Top hat	
13102	Top hat	noted; base=13101
13103	Pith helmet	
13104	Pith helmet	noted; base=13103
13105	Spiked helmet	
13106	Spiked helmet	noted; base=13105
13107	Sheep mask	
13108	Sheep mask	noted; base=13107
13109	Penguin mask	
13110	Penguin mask	noted; base=13109
13111	Bat mask	
13112	Bat mask	noted; base=13111
13113	Cat mask	
13114	Cat mask	noted; base=13113
13115	Wolf mask	
13116	Wolf mask	noted; base=13115
13117	Ivandis flail	
13118	Ivandis flail	
13119	Ivandis flail	
13120	Ivandis flail	
13121	Ivandis flail	
13122	Ivandis flail	
13123	Ivandis flail	
13124	Ivandis flail	
13125	Ivandis flail	
13126	Ivandis flail	
13127	Ivandis flail	
13128	Ivandis flail	
13129	Ivandis flail	
13130	Ivandis flail	
13131	Ivandis flail	
13132	Ivandis flail	
13133	Ivandis flail	
13134	Ivandis flail	
13135	Ivandis flail	
13136	Ivandis flail	
13137	Ivandis flail	
13138	Ivandis flail	
13139	Ivandis flail	
13140	Ivandis flail	
13141	Ivandis flail	
13142	Ivandis flail	
13143	Ivandis flail	
13144	Ivandis flail	
13145	Ivandis flail	
13146	Ivandis flail	
13147	Flail dust	
13148	Glove	
13149	Book page	
13150	Crate	
13151	Combat book	
13152	<unnamed>	
13153	Chain link mould	
13154	Silvthril chain	
13155	Silver sickle emerald (b)	
13156	Enchanted sickle emerald (b)	
13157	Vyre corpse	
13158	Columbarium key	
13159	Ornate tomb key	
13160	Tome of xp 2nd ed (3)	
13161	Tome of xp 2nd ed (2)	
13162	Tome of xp 2nd ed (1)	
13163	Black cane	
13164	Adamant cane	
13165	Rune cane	
13166	Top hat	
13167	Pith helmet	
13168	Spiked helmet	
13169	Sheep mask	
13170	Penguin mask	
13171	Bat mask	
13172	Cat mask	
13173	Wolf mask	
13174	Blue navy slacks	
13175	Green navy slacks	
13176	Red navy slacks	
13177	Brown navy slacks	
13178	Black navy slacks	
13179	Purple navy slacks	
13180	Grey navy slacks	
13181	Blue naval shirt	
13182	Green naval shirt	
13183	Red naval shirt	
13184	Brown naval shirt	
13185	Black naval shirt	
13186	Purple naval shirt	
13187	Grey naval shirt	
13188	Blue tricorn hat	
13189	Green tricorn hat	
13190	Red tricorn hat	
13191	Brown tricorn hat	
13192	Black tricorn hat	
13193	Purple tricorn hat	
13194	Grey tricorn hat	
13195	<unnamed>	
13196	<unnamed>	
13197	<unnamed>	
13198	<unnamed>	
13199	<unnamed>	
13200	<unnamed>	
13201	<unnamed>	
13202	<unnamed>	
13203	<unnamed>	
13204	<unnamed>	
13205	<unnamed>	
13206	<unnamed>	
13207	<unnamed>	
13208	<unnamed>	
13209	<unnamed>	
13210	<unnamed>	
13211	<unnamed>	
13212	<unnamed>	
13213	<unnamed>	
13214	<unnamed>	
13215	<unnamed>	
13216	<unnamed>	
13217	<unnamed>	
13218	<unnamed>	
13219	<unnamed>	
13220	<unnamed>	
13221	<unnamed>	
13222	<unnamed>	
13223	<unnamed>	
13224	<unnamed>	
13225	<unnamed>	
13226	<unnamed>	
13227	Mysterious lamp	
13228	Crate	
13229	Letter	
13230	Icefiend net	
13231	Baby icefiend	
13232	Tent	
13233	Plans	
13234	Dwarven key	
13235	<unnamed>	
13236	Three little kittens	
13237	<unnamed>	
13238	Treated oak plank	
13239	<unnamed>	
13240	<unnamed>	
13241	<unnamed>	
13242	<unnamed>	
13243	Stone tablet	
13244	TzHaar Tourist Guide	
13245	Stone slab	
13246	Pillar	
13251	<unnamed>	
13252	<unnamed>	
13253	<unnamed>	
13254	<unnamed>	
13255	<unnamed>	
13256	<unnamed>	
13257	<unnamed>	
13258	<unnamed>	
13259	Ranged path key	
13260	Magic path key	
13261	<unnamed>	
13262	<unnamed>	
13263	Slayer helmet	
13264	<unnamed>	
13265	<unnamed>	
13266	<unnamed>	
13267	<unnamed>	
13268	<unnamed>	
13269	<unnamed>	
13270	<unnamed>	
13271	<unnamed>	
13272	<unnamed>	
13273	<unnamed>	
13274	<unnamed>	
13275	<unnamed>	
13276	Banshee voice	
13277	Masked earmuffs	
13278	Broad arrowheads	
13279	Unfinished broad bolts	
13280	Broad-tipped bolts	
13281	Ring of slaying (8)	
13282	Ring of slaying (7)	
13283	Ring of slaying (6)	
13284	Ring of slaying (5)	
13285	Ring of slaying (4)	
13286	Ring of slaying (3)	
13287	Ring of slaying (2)	
13288	Ring of slaying (1)	
13289	<unnamed>	
13290	Leaf-bladed sword	
13291	Leaf-bladed sword	noted; base=13290
13292	Letter	
13293	Plans	
13294	Charcoal rubbing	
13295	Frank's mark	
13296	Crude lockpick	
13297	Customs shirt	
13298	Customs trousers	
13299	Customs hat	
13300	File	
13301	File	
13302	Brooch	
13303	Izzy's mark	
13304	Key	
13305	Crowbar	
13306	<unnamed>	
13307	Idol of many heads	
13308	Bill Teach's mark	
13309	Paper	
13310	Confession	
13311	Note	
13312	Ink bottle	
13313	Inky paper	
13314	Ink bottle	
13315	Smashed bottle	
13316	Prison uniform top	
13317	Prison uniform trousers	
13318	Fishy prison uniform top	
13319	Tin cup	
13320	Tin cup	
13321	Pipe	
13322	Accordion	
13323	Accordion	
13324	Accordion	
13325	Vacuum pump	
13326	Vacuum pump and gull	
13327	Quill	
13328	Inky quill	
13329	File	
13330	File	
13331	Ex-parrot	
13332	Magical cage	
13333	Ex-parrot in a magic cage	
13334	Ex-ex-parrot in a magic cage	
13335	Ex-ex-parrot	
13336	Ex-ex-parrot	
13337	Pirate impling jar	
13338	Pirate impling jar	noted; base=13337
13339	Bandana and eyepatch	
13340	Bandana and eyepatches	
13341	Bandana and eyepatch	
13342	Bandana and eyepatches	
13343	Bandana and eyepatch	
13344	Bandana and eyepatches	
13345	Bandana and eyepatch	
13346	Bandana and eyepatches	
13347	Bandana and eyepatch	
13348	Bandana and eyepatches	
13349	Bandana and eyepatch	
13350	Bandana and eyepatches	
13351	Bandana and eyepatch	
13352	Bandana and eyepatches	
13353	Double eyepatches	
13354	Pirate hat and eyepatches	
13355	Left eyepatch	
13356	Left eyepatch	noted; base=13355
13357	Pirate hat and eyepatch	
13358	Pirate shirt (grey)	
13359	Pirate shirt (grey)	noted; base=13358
13360	Pirate shirt (purple)	
13361	Pirate shirt (purple)	noted; base=13360
13362	Pirate shirt (orange)	
13363	Pirate shirt (orange)	noted; base=13362
13364	Pirate leggings (grey)	
13365	Pirate leggings (grey)	noted; base=13364
13366	Pirate leggings (purple)	
13367	Pirate leggings (purple)	noted; base=13366
13368	Pirate leggings (orange)	
13369	Pirate leggings (orange)	noted; base=13368
13370	Pirate bandana (grey)	
13371	Pirate bandana (grey)	noted; base=13370
13372	Pirate bandana (purple)	
13373	Pirate bandana (purple)	noted; base=13372
13374	Pirate bandana (orange)	
13375	Pirate bandana (orange)	noted; base=13374
13376	Bandana and eyepatch	
13377	Bandana and eyepatch	
13378	Bandana and eyepatch	
13379	<unnamed>	
13380	Introduction letter	
13381	Broken hand	
13382	Broken hand	
13383	Broken hand	
13384	Broken hand	
13385	Broken hand	
13386	Fingers	
13387	Thumb	
13388	Hand	
13389	Wrist	
13390	Brace	
13391	Brass hand	
13392	Ink pad	
13393	Inky hand	
13394	Paper	
13395	Brass Hand Harry's mark	
13396	Fake beard	
13397	Fake moustache and nose	
13398	Fake monocle, moustache and nose	
13399	Curly wig	
13400	Straight wig	
13401	Order	
13402	Braindeath's mark	
13403	Golden tinderbox	
13404	<unnamed>	
13405	Dark bow	lent; base=11235
13406	Ancient staff	lent; base=4675
13407	Archer helm	lent; base=3749
13408	Berserker helm	lent; base=3751
13409	Warrior helm	lent; base=3753
13410	Farseer helm	lent; base=3755
13411	Rock-shell helm	lent; base=6128
13412	Rock-shell plate	lent; base=6129
13413	Rock-shell legs	lent; base=6130
13414	Spined helm	lent; base=6131
13415	Spined body	lent; base=6133
13416	Spined chaps	lent; base=6135
13417	Skeletal helm	lent; base=6137
13418	Skeletal top	lent; base=6139
13419	Skeletal bottoms	lent; base=6141
13420	Spined boots	lent; base=6143
13421	Rock-shell boots	lent; base=6145
13422	Skeletal boots	lent; base=6147
13423	Spined gloves	lent; base=6149
13424	Rock-shell gloves	lent; base=6151
13425	Skeletal gloves	lent; base=6153
13426	Seers' ring	lent; base=6731
13427	Archers' ring	lent; base=6733
13428	Warrior ring	lent; base=6735
13429	Berserker ring	lent; base=6737
13430	Dragon 2h sword	lent; base=7158
13431	Crayfish cage	
13432	Crayfish cage	noted; base=13431
13433	Crayfish	
13434	Crayfish	noted; base=13433
13435	Raw crayfish	
13436	Raw crayfish	noted; base=13435
13437	Burnt crayfish	
13438	<unnamed>	
13439	Antique lamp	
13440	Bag of runes	
13441	<unnamed>	
13442	Amulet of fury	lent; base=6585
13443	Obsidian cape	lent; base=6568
13444	Abyssal whip	lent; base=4151
13445	Granite maul	lent; base=4153
13446	Antique lamp	
13447	Antique lamp	
13448	Antique lamp	
13449	Dragon full helm	lent; base=11335
13450	Armadyl godsword	lent; base=11694
13451	Bandos godsword	lent; base=11696
13452	Saradomin godsword	lent; base=11698
13453	Zamorak godsword	lent; base=11700
13454	Zamorakian spear	lent; base=11716
13455	Armadyl helmet	lent; base=11718
13456	Armadyl chestplate	lent; base=11720
13457	Armadyl chainskirt	lent; base=11722
13458	Bandos chestplate	lent; base=11724
13459	Bandos tassets	lent; base=11726
13460	Bandos boots	lent; base=11728
13461	Saradomin sword	lent; base=11730
13462	Dragon boots	lent; base=11732
13463	Antique lamp	
13464	Task list	
13465	Dragon dagger	lent; base=1215
13466	<unnamed>	
13467	<unnamed>	
13468	<unnamed>	
13469	Rune hatchet	lent; base=1359
13470	Dragon hatchet	lent; base=6739
13471	Rune battleaxe	lent; base=45534
13472	Dragon battleaxe	lent; base=1377
13473	Rune warhammer	lent; base=45532
13474	Rune longsword	lent; base=45530
13475	Dragon longsword	lent; base=1305
13476	Rune scimitar	lent; base=45528
13477	Dragon scimitar	lent; base=4587
13478	Dragon halberd	lent; base=3204
13479	Dragon mace	lent; base=1434
13480	Rune pickaxe	lent; base=45548
13481	Dragon chainbody	lent; base=3140
13482	Rune platebody	lent; base=45543
13483	Green dragonhide body	lent; base=1135
13484	Blue dragonhide body	lent; base=2499
13485	Red dragonhide body	lent; base=2501
13486	Black dragonhide body	lent; base=2503
13487	Rune platelegs	lent; base=45541
13488	Dragon platelegs	lent; base=4087
13489	Rune plateskirt	lent; base=45542
13490	Dragon plateskirt	lent; base=4585
13491	Green dragonhide chaps	lent; base=1099
13492	Blue dragonhide chaps	lent; base=2493
13493	Red dragonhide chaps	lent; base=2495
13494	Black dragonhide chaps	lent; base=2497
13495	Dragon helm	lent; base=1149
13496	Rune full helm	lent; base=45539
13497	Green dragonhide vambraces	lent; base=1065
13498	Blue dragonhide vambraces	lent; base=2487
13499	Red dragonhide vambraces	lent; base=2489
13500	Black dragonhide vambraces	lent; base=2491
13501	Splitbark helm	lent; base=3385
13502	Splitbark body	lent; base=3387
13503	Splitbark legs	lent; base=3389
13504	Splitbark gauntlets	lent; base=3391
13505	Splitbark boots	lent; base=3393
13506	Dragon sq shield	lent; base=1187
13507	Rune kiteshield	lent; base=45546
13508	Mystic hat	lent; base=4089
13509	Mystic robe top	lent; base=4091
13510	Mystic robe bottom	lent; base=4093
13511	Mystic gloves	lent; base=4095
13512	Mystic boots	lent; base=4097
13513	Dark mystic hat	lent; base=4099
13514	Dark mystic robe top	lent; base=4101
13515	Dark mystic robe bottom	lent; base=4103
13516	Dark mystic gloves	lent; base=4105
13517	Dark mystic boots	lent; base=4107
13518	Light mystic hat	lent; base=4109
13519	Light mystic robe top	lent; base=4111
13520	Light mystic robe bottom	lent; base=4113
13521	Light mystic gloves	lent; base=4115
13522	Light mystic boots	lent; base=4117
13529	Seercull	lent; base=6724
13531	Red partyhat	lent; base=1038
13532	Yellow partyhat	lent; base=1040
13533	Blue partyhat	lent; base=1042
13534	Green partyhat	lent; base=1044
13535	Purple partyhat	lent; base=1046
13536	White partyhat	lent; base=1048
13537	Santa hat	lent; base=1050
13538	Green hallowe'en mask	lent; base=1053
13539	Blue hallowe'en mask	lent; base=1055
13540	Red hallowe'en mask	lent; base=1057
13541	Willow composite bow	lent; base=10280
13542	Yew composite bow	lent; base=10282
13543	Magic composite bow	lent; base=10284
13544	Third age ranger body	lent; base=10330
13545	Third age ranger chaps	lent; base=10332
13546	Third age ranger coif	lent; base=10334
13547	Third age vambraces	lent; base=10336
13548	Third age robe top	lent; base=10338
13549	Third age robe	lent; base=10340
13550	Third age mage hat	lent; base=10342
13551	Third age amulet	lent; base=10344
13552	Third age platelegs	lent; base=10346
13553	Third age platebody	lent; base=10348
13554	Third age full helmet	lent; base=10350
13555	Third age kiteshield	lent; base=10352
13556	Ranger boots	lent; base=2577
13557	Wizard boots (t)	lent; base=2579
13558	Robin Hood hat	lent; base=2581
13559	<unnamed>	
13560	Explorer's ring 1	
13561	Explorer's ring 2	
13562	Explorer's ring 3	
13563	Button mushroom	
13564	Button mushroom	noted; base=13563
13565	Doll	
13566	Jennica's ring	
13567	Cursed magic logs	
13568	Cursed magic logs	noted; base=13567
13569	Enchanted key notes	
13570	Bowl	
13571	Bucket of milk	
13572	Clean guam	
13573	Bowl of honey	
13574	Bowl of milk and honey	
13575	Bowl of milk, honey and guam	
13576	Map of Gielinor	
13577	Papyrus	
13578	Charcoal	
13579	Spade	
13580	Plant pot	
13581	Pear tree seedling	
13582	Mango tree seedling	
13583	Quince tree seedling	
13584	Lemon tree seedling	
13585	Avocado tree seedling	
13586	Plum tree seedling	
13587	Pestle and mortar	
13588	Ground guam	
13589	Bucket	
13590	<unnamed>	
13591	Enchanted key	
13592	A brooch	
13593	Old tome	
13594	<unnamed>	
13595	<unnamed>	
13596	<unnamed>	
13597	<unnamed>	
13598	Runecrafting guild teleport	
13599	Air altar teleport	
13600	Mind altar teleport	
13601	Water altar teleport	
13602	Earth altar teleport	
13603	Fire altar teleport	
13604	Body altar teleport	
13605	Cosmic altar teleport	
13606	Chaos altar teleport	
13607	Nature altar teleport	
13608	Law altar teleport	
13609	Death altar teleport	
13610	Blood altar teleport	
13611	Astral altar teleport	
13612	Runecrafter hat	
13613	Runecrafter hat	
13614	Runecrafter robe	
13615	Runecrafter hat	
13616	Runecrafter hat	
13617	Runecrafter skirt	
13618	Runecrafter gloves	
13619	Runecrafter robe	
13620	Runecrafter hat	
13621	Runecrafter hat	
13622	Runecrafter skirt	
13623	Runecrafter gloves	
13624	Runecrafter robe	
13625	Runecrafter hat	
13626	Runecrafter hat	
13627	Runecrafter skirt	
13628	Runecrafter gloves	
13629	Runecrafting staff	
13630	Air talisman staff	
13631	Mind talisman staff	
13632	Water talisman staff	
13633	Earth talisman staff	
13634	Fire talisman staff	
13635	Body talisman staff	
13636	Cosmic talisman staff	
13637	Chaos talisman staff	
13638	Nature talisman staff	
13639	Law talisman staff	
13640	Death talisman staff	
13641	Blood talisman staff	
13642	Omni-talisman staff	
13643	Yellow attractor	
13644	Yellow repeller	
13645	Green attractor	
13646	Green repeller	
13647	Green barrier generator	
13648	Yellow barrier generator	
13649	Omni-talisman	
13650	Runecrafting guild token	
13651	Runecrafting guild token	
13652	Runecrafting guild token	
13653	Runecrafting guild token	
13654	Runecrafting guild token	
13655	Omni-tiara	
13656	Runecrafter hat	
13657	Runecrafter hat	
13658	Runecrafter hat	
13659	Ring of fire	
13660	Flame gloves	
13661	Inferno adze	
13662	Fire beacon	
13663	Circus ticket	
13664	<unnamed>	
13665	<unnamed>	
13666	Giant's hand	
13667	Clown hat	
13668	Clown shirt	
13669	Clown leggings	
13670	Clown shoes	
13671	Tambourine	
13672	Ringmaster hat	
13673	Ringmaster shirt	
13674	Ringmaster pants	
13675	Ringmaster boots	
13676	Mega-phonus	
13677	Acrobat shirt	
13678	Acrobat pants	
13679	Acrobat shoes	
13680	Acrobat hood	
13681	Acrobat shirt	
13682	Acrobat pants	
13683	Acrobat shoes	
13684	Acrobat hood	
13685	A stylish hat	
13686	A stylish hat	
13687	A stylish hat	
13688	A stylish hat	
13689	A stylish hat	
13690	A stylish hat	
13691	Shirt	
13692	Shirt	
13693	Shirt	
13694	Shirt	
13695	Shirt	
13696	Shirt	
13697	Leggings	
13698	Leggings	
13699	Leggings	
13700	Skirt	
13701	Skirt	
13702	Skirt	
13703	Shoes	
13704	Shoes	
13705	Shoes	
13706	Shoes	
13707	Tightrope 101	
13708	Tightrope 101	noted; base=13707
13709	Balls (level 10 approx.)	
13710	Plates (level 20 approx.)	
13711	Eggs (level 30 approx.)	
13712	Knives (level 40 approx.)	
13713	Spades (level 50 approx.)	
13714	Tuna (level 60 approx.)	
13715	Soap (level 70 approx.)	
13716	Cannon balls (level 80 approx.)	
13717	Torches (level 90 approx.)	
13718	Chinchompas (level 99 approx.)	
13719	Performance shortbow	
13720	Performance knife	
13721	Performance throwing axe	
13722	Performance arrow	
13723	Teleport spell	
13724	Levitation spell	
13725	Alchemy spell	
13726	Elemental spell	
13727	Stardust	
13728	<unnamed>	
13729	<unnamed>	
13730	<unnamed>	
13731	<unnamed>	
13732	<unnamed>	
13733	<unnamed>	
13734	Spirit shield	
13735	Spirit shield	noted; base=13734
13736	Blessed spirit shield	
13737	Blessed spirit shield	noted; base=13736
13738	Arcane spirit shield	
13739	Arcane spirit shield	noted; base=13738
13740	Divine spirit shield	
13741	Divine spirit shield	noted; base=13740
13742	Elysian spirit shield	
13743	Elysian spirit shield	noted; base=13742
13744	Spectral spirit shield	
13745	Spectral spirit shield	noted; base=13744
13746	Arcane sigil	
13747	Arcane sigil	noted; base=13746
13748	Divine sigil	
13749	Divine sigil	noted; base=13748
13750	Elysian sigil	
13751	Elysian sigil	noted; base=13750
13752	Spectral sigil	
13753	Spectral sigil	noted; base=13752
13754	Holy elixir	
13755	Holy elixir	noted; base=13754
13756	Cursed willow logs	
13757	Hartwin	
13758	Grubby key	
13759	Scrap of paper	
13760	Bottle	
13761	Bottle of mist	
13762	List of elders	
13763	Cavalier and mask	lent; base=11280
13764	Rune claws	lent; base=45536
13765	Rune dagger	lent; base=45522
13766	<unnamed>	
13767	<unnamed>	
13768	<unnamed>	
13769	Rune spear	lent; base=1247
13770	Dragon spear	lent; base=1249
13771	<unnamed>	
13772	<unnamed>	
13773	<unnamed>	
13774	<unnamed>	
13775	<unnamed>	
13776	<unnamed>	
13777	Rune sword	lent; base=45526
13778	Rune 2h sword	lent; base=45538
13779	Rune halberd	lent; base=3202
13780	Rune mace	lent; base=45524
13781	Rune chainbody	lent; base=45544
13782	Rune armoured boots	lent; base=45547
13783	Rune med helm	lent; base=45540
13784	Granite helm	lent; base=10589
13785	Granite body	lent; base=10564
13786	Granite legs	lent; base=6809
13787	Rune square shield	lent; base=45545
13788	Granite shield	lent; base=3122
13789	Powdered wig	lent; base=10392
13790	Flared trousers	lent; base=10394
13791	Pantaloons	lent; base=10396
13792	Sleeping cap	lent; base=10398
13793	Rune cane	lent; base=13099
13794	Top hat	lent; base=13101
13795	Sheep mask	lent; base=13107
13796	Penguin mask	lent; base=13109
13797	Bat mask	lent; base=13111
13798	Cat mask	lent; base=13113
13799	Wolf mask	lent; base=13115
13800	Rune platebody (g)	lent; base=2615
13801	Rune platelegs (g)	lent; base=2617
13802	Rune plateskirt (g)	lent; base=3476
13803	Rune full helm (g)	lent; base=2619
13804	Rune kiteshield (g)	lent; base=2621
13805	Rune platebody (t)	lent; base=2623
13806	Rune platelegs (t)	lent; base=2625
13807	Rune plateskirt (t)	lent; base=3477
13808	Rune full helm (t)	lent; base=2627
13809	Rune kiteshield (t)	lent; base=2629
13810	Highwayman mask	lent; base=2631
13811	Blue beret	lent; base=2633
13812	Black beret	lent; base=2635
13813	White beret	lent; base=2637
13814	Tan cavalier	lent; base=2639
13815	Dark cavalier	lent; base=2641
13816	Black cavalier	lent; base=2643
13817	Red headband	lent; base=2645
13818	Black headband	lent; base=2647
13819	Brown headband	lent; base=2649
13820	Rune platebody (Zamorak)	lent; base=2653
13821	Rune platelegs (Zamorak)	lent; base=2655
13822	Rune plateskirt (Zamorak)	lent; base=3478
13823	Rune full helm (Zamorak)	lent; base=2657
13824	Rune kiteshield (Zamorak)	lent; base=2659
13825	Rune platebody (Saradomin)	lent; base=2661
13826	Rune platelegs (Saradomin)	lent; base=2663
13827	Rune plateskirt (Saradomin)	lent; base=3479
13828	Rune full helm (Saradomin)	lent; base=2665
13829	Rune kiteshield (Saradomin)	lent; base=2667
13830	Rune platebody (Guthix)	lent; base=2669
13831	Rune platelegs (Guthix)	lent; base=2671
13832	Rune plateskirt (Guthix)	lent; base=3480
13833	Rune full helm (Guthix)	lent; base=2673
13834	Rune kiteshield (Guthix)	lent; base=2675
13835	Rune platebody (Gilded)	lent; base=3481
13836	Rune platelegs (Gilded)	lent; base=3483
13837	Rune plateskirt (Gilded)	lent; base=3485
13838	Rune full helm (Gilded)	lent; base=3486
13839	Rune kiteshield (Gilded)	lent; base=3488
13840	<unnamed>	
13841	<unnamed>	
13842	<unnamed>	
13843	<unnamed>	
13844	<unnamed>	
13845	Brawling gloves (Melee)	
13846	Brawling gloves (Ranged)	
13847	Brawling gloves (Magic)	
13848	Brawling gloves (Prayer)	
13849	Brawling gloves (Agility)	
13850	Brawling gloves (Woodcutting)	
13851	Brawling gloves (Firemaking)	
13852	Brawling gloves (Mining)	
13853	Brawling gloves (Hunter)	
13854	Brawling gloves (Thieving)	
13855	Brawling gloves (Smithing)	
13856	Brawling gloves (Fishing)	
13857	Brawling gloves (Cooking)	
13858	Zuriel's robe top	
13859	Zuriel's robe top	noted; base=13858
13860	Zuriel's robe top	
13861	Zuriel's robe bottom	
13862	Zuriel's robe bottom	noted; base=13861
13863	Zuriel's robe bottom	
13864	Zuriel's hood	
13865	Zuriel's hood	noted; base=13864
13866	Zuriel's hood	
13867	Zuriel's staff	
13868	Zuriel's staff	noted; base=13867
13869	Zuriel's staff	
13870	Morrigan's leather body	
13871	Morrigan's leather body	noted; base=13870
13872	Morrigan's leather body	
13873	Morrigan's leather chaps	
13874	Morrigan's leather chaps	noted; base=13873
13875	Morrigan's leather chaps	
13876	Morrigan's coif	
13877	Morrigan's coif	noted; base=13876
13878	Morrigan's coif	
13879	Morrigan's javelin	
13880	Morrigan's javelin (p)	
13881	Morrigan's javelin (p+)	
13882	Morrigan's javelin (p++)	
13883	Morrigan's throwing axe	
13884	Statius's platebody	
13885	Statius's platebody	noted; base=13884
13886	Statius's platebody	
13887	Vesta's chainbody	
13888	Vesta's chainbody	noted; base=13887
13889	Vesta's chainbody	
13890	Statius's platelegs	
13891	Statius's platelegs	noted; base=13890
13892	Statius's platelegs	
13893	Vesta's plateskirt	
13894	Vesta's plateskirt	noted; base=13893
13895	Vesta's plateskirt	
13896	Statius's full helm	
13897	Statius's full helm	noted; base=13896
13898	Statius' full helm	
13899	Vesta's longsword	
13900	Vesta's longsword	noted; base=13899
13901	Vesta's longsword	
13902	Statius's warhammer	
13903	Statius's warhammer	noted; base=13902
13904	Statius' warhammer	
13905	Vesta's spear	
13906	Vesta's spear	noted; base=13905
13907	Vesta's spear	
13908	Corrupt Statius's platebody	
13909	Corrupt Statius's platebody	noted; base=13908
13910	Corrupt Statius's platebody (deg)	
13911	Corrupt Vesta's chainbody	
13912	Corrupt Vesta's chainbody	noted; base=13911
13913	Corrupt Vesta's chainbody (deg)	
13914	Corrupt Statius's platelegs	
13915	Corrupt Statius's platelegs	noted; base=13914
13916	Corrupt Statius's platelegs (deg)	
13917	Corrupt Vesta's plateskirt	
13918	Corrupt Vesta's plateskirt	noted; base=13917
13919	Corrupt Vesta's plateskirt (deg)	
13920	Corrupt Statius's full helm	
13921	Corrupt Statius's full helm	noted; base=13920
13922	Corrupt Statius' full helm (deg)	
13923	Corrupt Vesta's longsword	
13924	Corrupt Vesta's longsword	noted; base=13923
13925	Corrupt Vesta's longsword (deg)	
13926	Corrupt Statius's warhammer	
13927	Corrupt Statius's warhammer	noted; base=13926
13928	Corrupt Statius's warhammer (deg)	
13929	Corrupt Vesta's spear	
13930	Corrupt Vesta's spear	noted; base=13929
13931	Corrupt Vesta's spear (deg)	
13932	Corrupt Zuriel's robe top	
13933	Corrupt Zuriel's robe top	noted; base=13932
